id;date_iso8601;employee_id;partner_id;amount_cents;status
1;2026-06-02T08:00:00;1;5;3000;validée
2;2026-06-02T08:15:00;33;8;1212;validée
3;2026-06-02T08:30:00;31;5;2966;validée
4;2026-06-03T08:45:00;2;16;1250;validée
5;2026-06-04T09:00:00;20;4;788;validée
6;2026-06-04T09:15:00;21;7;1397;validée
7;2026-06-05T09:30:00;43;15;3040;validée
8;2026-06-05T09:45:00;47;9;681;validée
9;2026-06-06T10:00:00;1;12;2000;validée
10;2026-06-06T10:15:00;9;6;1530;validée
11;2026-06-07T10:30:00;21;4;3105;validée
12;2026-06-07T10:45:00;8;6;1887;validée
13;2026-06-08T11:00:00;38;10;2721;validée
14;2026-06-08T11:15:00;32;4;2602;validée
15;2026-06-08T11:30:00;38;1;2698;validée
16;2026-06-08T11:45:00;7;10;3871;validée
17;2026-06-09T12:15:00;49;13;1959;validée
18;2026-06-09T12:30:00;19;13;4391;validée
19;2026-06-09T12:45:00;18;7;1835;validée
20;2026-06-09T13:00:00;43;3;3811;validée
21;2026-06-10T13:15:00;49;8;2400;validée
22;2026-06-10T13:30:00;11;4;4331;validée
23;2026-06-10T13:45:00;31;10;1977;validée
24;2026-06-10T14:00:00;18;4;2139;validée
25;2026-06-10T14:15:00;28;2;1509;validée
26;2026-06-11T14:45:00;26;12;4681;validée
27;2026-06-11T15:00:00;41;14;544;validée
28;2026-06-11T15:15:00;36;12;3251;validée
29;2026-06-12T15:30:00;42;3;4761;validée
30;2026-06-14T15:45:00;32;11;1357;validée
31;2026-06-15T16:00:00;25;1;4693;validée
32;2026-06-15T16:15:00;14;14;1690;validée
33;2026-06-15T16:30:00;23;16;1216;validée
34;2026-06-15T16:45:00;47;4;3594;validée
35;2026-06-16T17:00:00;3;14;10000;validée
36;2026-06-16T17:15:00;6;12;3561;validée
37;2026-06-16T17:30:00;27;15;4727;validée
38;2026-06-17T17:45:00;26;5;3485;validée
39;2026-06-18T18:00:00;21;14;1695;validée
40;2026-06-18T18:15:00;8;6;516;validée
41;2026-06-18T18:30:00;41;9;1166;validée
42;2026-06-19T18:45:00;29;16;1487;validée
43;2026-06-19T19:00:00;11;15;3392;validée
44;2026-06-20T19:15:00;37;14;2298;validée
45;2026-06-21T19:30:00;4;9;4700;validée
46;2026-06-21T19:45:00;48;11;3733;validée
47;2026-06-21T20:15:00;40;8;863;validée
48;2026-06-21T20:30:00;20;3;2224;validée
49;2026-06-22T20:45:00;13;9;1188;validée
50;2026-06-22T21:00:00;46;15;4909;validée
51;2026-06-23T21:15:00;19;8;2800;validée
52;2026-06-23T21:30:00;49;15;4092;validée
53;2026-06-24T21:45:00;22;13;4873;validée
54;2026-06-24T22:00:00;21;11;4391;validée
55;2026-06-26T22:15:00;5;1;1600;validée
56;2026-06-26T22:30:00;12;16;1619;validée
57;2026-06-26T22:45:00;20;11;606;validée
58;2026-06-28T23:15:00;16;6;2166;validée
59;2026-06-29T23:30:00;31;16;1705;validée
60;2026-06-29T23:45:00;44;7;2404;validée
61;2026-06-30T00:00:00;23;12;3510;validée
62;2026-06-30T00:15:00;12;9;830;validée
63;2026-07-01T00:30:00;46;11;3597;validée
64;2026-07-02T00:45:00;28;9;1873;validée
65;2026-07-03T01:15:00;27;9;819;validée
66;2026-07-03T01:30:00;6;1;4860;validée
67;2026-07-03T01:45:00;44;7;806;validée
68;2026-07-03T02:00:00;11;3;4183;validée
69;2026-07-04T02:15:00;16;8;2904;validée
70;2026-07-04T02:30:00;39;14;2532;validée
71;2026-07-04T02:45:00;17;16;1753;validée
72;2026-07-04T03:00:00;28;8;1445;validée
73;2026-07-04T03:30:00;15;16;610;validée
74;2026-07-04T03:45:00;35;16;726;validée
75;2026-07-04T04:00:00;34;15;1666;validée
76;2026-07-06T04:45:00;22;1;1304;validée
77;2026-07-06T05:00:00;35;3;1318;validée
78;2026-07-07T05:15:00;16;10;2580;validée
79;2026-07-08T05:45:00;11;8;3354;validée
80;2026-07-08T06:00:00;37;13;3320;validée
81;2026-07-09T06:15:00;41;8;1200;validée
82;2026-07-09T06:30:00;34;10;849;validée
83;2026-07-10T06:45:00;47;12;2031;validée
84;2026-07-10T07:00:00;32;16;1968;validée
85;2026-07-11T07:15:00;17;12;3270;validée
86;2026-07-13T07:30:00;20;14;4198;validée
87;2026-07-13T07:45:00;42;11;4444;validée
88;2026-07-13T08:00:00;43;12;3044;validée
89;2026-07-13T08:15:00;22;15;1419;validée
90;2026-07-13T08:30:00;28;9;3778;validée
91;2026-07-13T08:45:00;21;10;1723;validée
92;2026-07-14T09:00:00;43;9;3230;validée
93;2026-07-15T09:15:00;32;8;612;validée
94;2026-07-15T09:30:00;48;4;3348;validée
95;2026-07-16T09:45:00;12;7;773;validée
96;2026-07-16T10:00:00;44;11;1448;validée
97;2026-07-17T10:15:00;38;4;1693;validée
98;2026-07-18T10:30:00;30;6;2646;validée
99;2026-07-19T10:45:00;23;7;2540;validée
100;2026-07-19T11:00:00;7;7;1003;validée
101;2026-07-20T11:15:00;44;16;1395;validée
102;2026-07-20T11:30:00;10;9;4457;validée
103;2026-07-21T11:45:00;20;10;4399;validée
104;2026-07-21T12:00:00;26;4;2019;validée
105;2026-07-22T12:30:00;42;7;1375;validée
106;2026-07-23T13:00:00;40;10;621;validée
107;2026-07-24T13:15:00;33;8;4540;validée
108;2026-07-25T13:45:00;19;12;789;validée
109;2026-07-26T14:00:00;41;6;1073;validée
110;2026-07-26T14:15:00;27;10;2942;validée
111;2026-07-26T14:30:00;9;1;1431;validée
112;2026-07-26T15:00:00;23;5;3884;validée
113;2026-07-27T15:30:00;40;9;2519;validée
114;2026-07-27T15:45:00;34;2;2983;validée
115;2026-07-28T16:00:00;8;2;988;validée
116;2026-07-28T16:15:00;18;10;1646;validée
117;2026-07-29T17:00:00;44;5;1928;validée
118;2026-07-31T17:45:00;20;16;1398;validée
119;2026-07-31T18:00:00;30;4;1973;validée
120;2026-08-01T18:15:00;30;1;2217;validée
121;2026-08-01T18:30:00;13;10;2554;validée
122;2026-08-02T18:45:00;14;16;1078;validée
123;2026-08-02T19:00:00;42;16;2627;validée
124;2026-08-02T19:15:00;30;15;4425;validée
125;2026-08-02T19:30:00;34;11;4537;validée
126;2026-08-04T20:15:00;6;6;3195;validée
127;2026-08-04T20:30:00;44;2;4540;validée
128;2026-08-06T21:15:00;45;9;4168;validée
129;2026-08-07T21:30:00;16;16;756;validée
130;2026-08-07T21:45:00;23;4;2080;validée
131;2026-08-07T22:15:00;48;3;882;validée
132;2026-08-08T22:30:00;33;13;1485;validée
133;2026-08-08T22:45:00;46;16;1748;validée
134;2026-08-09T23:15:00;41;3;1243;validée
135;2026-08-09T23:30:00;36;2;2763;validée
136;2026-08-10T23:45:00;37;5;4172;validée
137;2026-08-11T00:00:00;31;5;3558;validée
138;2026-08-11T00:15:00;6;10;2840;validée
139;2026-08-12T00:30:00;12;3;728;validée
140;2026-08-12T00:45:00;24;8;1210;validée
141;2026-08-12T01:00:00;50;4;4568;validée
142;2026-08-12T01:15:00;40;14;3864;validée
143;2026-08-13T01:30:00;39;8;1631;validée
144;2026-08-13T01:45:00;10;13;2494;validée
145;2026-08-13T02:00:00;39;15;535;validée
146;2026-08-14T02:30:00;14;15;1610;validée
147;2026-08-14T02:45:00;24;10;2404;validée
148;2026-08-14T03:00:00;48;14;963;validée
149;2026-08-16T04:00:00;40;10;1095;validée
150;2026-08-16T04:15:00;13;2;2233;validée
151;2026-08-16T04:30:00;50;4;588;validée
152;2026-08-17T04:45:00;40;7;1682;validée
153;2026-08-17T05:00:00;26;7;757;validée
154;2026-08-17T05:15:00;8;9;4256;validée
155;2026-08-17T05:30:00;30;3;4572;validée
156;2026-08-22T06:15:00;35;6;4638;validée
157;2026-08-23T06:30:00;38;8;4607;validée
158;2026-08-23T06:45:00;20;6;532;validée
159;2026-08-23T07:00:00;35;3;2365;validée
160;2026-08-27T08:00:00;45;6;869;validée
161;2026-08-29T09:15:00;35;1;2488;validée
