id;date_iso8601;employee_id;partner_id;amount_cents;status
1;2026-06-02T08:00:00;17;5;3000;validee
2;2026-06-02T08:15:00;49;8;1212;validee
3;2026-06-02T08:30:00;47;5;2966;validee
4;2026-06-03T08:45:00;18;16;1250;validee
5;2026-06-04T09:00:00;36;4;788;validee
6;2026-06-04T09:15:00;37;7;1397;validee
7;2026-06-05T09:30:00;59;15;3040;validee
8;2026-06-05T09:45:00;63;9;681;validee
9;2026-06-06T10:00:00;17;12;2000;validee
10;2026-06-06T10:15:00;25;6;1530;validee
11;2026-06-07T10:30:00;37;4;3105;validee
12;2026-06-07T10:45:00;24;6;1887;validee
13;2026-06-08T11:00:00;54;10;2721;validee
14;2026-06-08T11:15:00;48;4;2602;validee
15;2026-06-08T11:30:00;54;1;2698;validee
16;2026-06-08T11:45:00;23;10;3871;validee
17;2026-06-09T12:00:00;18;13;500;refusee
18;2026-06-09T12:15:00;65;13;1959;validee
19;2026-06-09T12:30:00;35;7;4391;validee
20;2026-06-09T12:45:00;34;3;1835;validee
21;2026-06-09T13:00:00;59;8;3811;validee
22;2026-06-10T13:15:00;65;4;2400;validee
23;2026-06-10T13:30:00;27;10;4331;validee
24;2026-06-10T13:45:00;47;4;1977;validee
25;2026-06-10T14:00:00;34;2;2139;validee
26;2026-06-10T14:15:00;44;12;1509;validee
27;2026-06-11T14:30:00;17;14;1000;refusee
28;2026-06-11T14:45:00;42;12;4681;validee
29;2026-06-11T15:00:00;57;3;544;validee
30;2026-06-11T15:15:00;52;11;3251;validee
31;2026-06-12T15:30:00;58;1;4761;validee
32;2026-06-14T15:45:00;48;14;1357;validee
33;2026-06-15T16:00:00;41;16;4693;validee
34;2026-06-15T16:15:00;30;4;1690;validee
35;2026-06-15T16:30:00;39;14;1216;validee
36;2026-06-15T16:45:00;63;12;3594;validee
37;2026-06-16T17:00:00;19;15;10000;validee
38;2026-06-16T17:15:00;22;5;3561;validee
39;2026-06-16T17:30:00;43;14;4727;validee
40;2026-06-17T17:45:00;42;6;3485;validee
41;2026-06-18T18:00:00;37;9;1695;validee
42;2026-06-18T18:15:00;24;16;516;validee
43;2026-06-18T18:30:00;57;15;1166;validee
44;2026-06-19T18:45:00;45;14;1487;validee
45;2026-06-19T19:00:00;27;9;3392;validee
46;2026-06-20T19:15:00;53;11;2298;validee
47;2026-06-21T19:30:00;20;8;4700;validee
48;2026-06-21T19:45:00;64;3;3733;validee
49;2026-06-21T20:00:00;48;9;4882;refusee
50;2026-06-21T20:15:00;56;15;863;validee
51;2026-06-21T20:30:00;36;8;2224;validee
52;2026-06-22T20:45:00;29;15;1188;validee
53;2026-06-22T21:00:00;62;13;4909;validee
54;2026-06-23T21:15:00;35;11;2800;validee
55;2026-06-23T21:30:00;65;1;4092;validee
56;2026-06-24T21:45:00;38;16;4873;validee
57;2026-06-24T22:00:00;37;11;4391;validee
58;2026-06-26T22:15:00;21;6;1600;validee
59;2026-06-26T22:30:00;28;16;1619;validee
60;2026-06-26T22:45:00;36;7;606;validee
61;2026-06-27T23:00:00;65;12;1897;refusee
62;2026-06-28T23:15:00;32;9;2166;validee
63;2026-06-29T23:30:00;47;11;1705;validee
64;2026-06-29T23:45:00;60;9;2404;validee
65;2026-06-30T00:00:00;39;9;3510;validee
66;2026-06-30T00:15:00;28;1;830;validee
67;2026-07-01T00:30:00;62;7;3597;validee
68;2026-07-02T00:45:00;44;3;1873;validee
69;2026-07-03T01:00:00;41;8;1578;refusee
70;2026-07-03T01:15:00;43;14;819;validee
71;2026-07-03T01:30:00;22;16;4860;validee
72;2026-07-03T01:45:00;60;8;806;validee
73;2026-07-03T02:00:00;27;16;4183;validee
74;2026-07-04T02:15:00;32;16;2904;validee
75;2026-07-04T02:30:00;55;15;2532;validee
76;2026-07-04T02:45:00;33;1;1753;validee
77;2026-07-04T03:00:00;44;3;1445;validee
78;2026-07-04T03:15:00;48;10;4110;refusee
79;2026-07-04T03:30:00;31;8;610;validee
80;2026-07-04T03:45:00;51;13;726;validee
81;2026-07-04T04:00:00;50;8;1666;validee
82;2026-07-06T04:15:00;63;10;2565;refusee
